Entity ID,Acquisition Date,Publication Date,Resolution,Date Updated,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
SRTM1N29W100V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 16:52:23.442054-05,30°00'00"N,100°00'00"W,30°00'00"N,99°00'00"W,29°00'00"N,99°00'00"W,29°00'00"N,100°00'00"W,30,-100,30,-99,29,-99,29,-100,SRTM1N29W100V3,SRTM1N29W100V3
SRTM1N29W101V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,101°00'00"W,30°00'00"N,100°00'00"W,29°00'00"N,100°00'00"W,29°00'00"N,101°00'00"W,30,-101,30,-100,29,-100,29,-101,SRTM1N29W101V3,SRTM1N29W101V3
SRTM1N29W102V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,102°00'00"W,30°00'00"N,101°00'00"W,29°00'00"N,101°00'00"W,29°00'00"N,102°00'00"W,30,-102,30,-101,29,-101,29,-102,SRTM1N29W102V3,SRTM1N29W102V3
SRTM1N29W103V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 11:45:46.260745-05,30°00'00"N,103°00'00"W,30°00'00"N,102°00'00"W,29°00'00"N,102°00'00"W,29°00'00"N,103°00'00"W,30,-103,30,-102,29,-102,29,-103,SRTM1N29W103V3,SRTM1N29W103V3
SRTM1N29W104V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 16:52:23.442054-05,30°00'00"N,104°00'00"W,30°00'00"N,103°00'00"W,29°00'00"N,103°00'00"W,29°00'00"N,104°00'00"W,30,-104,30,-103,29,-103,29,-104,SRTM1N29W104V3,SRTM1N29W104V3
SRTM1N29W105V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 16:52:23.442054-05,30°00'00"N,105°00'00"W,30°00'00"N,104°00'00"W,29°00'00"N,104°00'00"W,29°00'00"N,105°00'00"W,30,-105,30,-104,29,-104,29,-105,SRTM1N29W105V3,SRTM1N29W105V3
SRTM1N29W106V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 16:52:23.442054-05,30°00'00"N,106°00'00"W,30°00'00"N,105°00'00"W,29°00'00"N,105°00'00"W,29°00'00"N,106°00'00"W,30,-106,30,-105,29,-105,29,-106,SRTM1N29W106V3,SRTM1N29W106V3
SRTM1N29W107V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 16:52:23.442054-05,30°00'00"N,107°00'00"W,30°00'00"N,106°00'00"W,29°00'00"N,106°00'00"W,29°00'00"N,107°00'00"W,30,-107,30,-106,29,-106,29,-107,SRTM1N29W107V3,SRTM1N29W107V3
SRTM1N29W108V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,108°00'00"W,30°00'00"N,107°00'00"W,29°00'00"N,107°00'00"W,29°00'00"N,108°00'00"W,30,-108,30,-107,29,-107,29,-108,SRTM1N29W108V3,SRTM1N29W108V3
SRTM1N29W109V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,109°00'00"W,30°00'00"N,108°00'00"W,29°00'00"N,108°00'00"W,29°00'00"N,109°00'00"W,30,-109,30,-108,29,-108,29,-109,SRTM1N29W109V3,SRTM1N29W109V3
SRTM1N29W110V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,110°00'00"W,30°00'00"N,109°00'00"W,29°00'00"N,109°00'00"W,29°00'00"N,110°00'00"W,30,-110,30,-109,29,-109,29,-110,SRTM1N29W110V3,SRTM1N29W110V3
SRTM1N29W111V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 19:47:47.278984-05,30°00'00"N,111°00'00"W,30°00'00"N,110°00'00"W,29°00'00"N,110°00'00"W,29°00'00"N,111°00'00"W,30,-111,30,-110,29,-110,29,-111,SRTM1N29W111V3,SRTM1N29W111V3
SRTM1N29W112V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,112°00'00"W,30°00'00"N,111°00'00"W,29°00'00"N,111°00'00"W,29°00'00"N,112°00'00"W,30,-112,30,-111,29,-111,29,-112,SRTM1N29W112V3,SRTM1N29W112V3
SRTM1N29W113V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,113°00'00"W,30°00'00"N,112°00'00"W,29°00'00"N,112°00'00"W,29°00'00"N,113°00'00"W,30,-113,30,-112,29,-112,29,-113,SRTM1N29W113V3,SRTM1N29W113V3
SRTM1N29W114V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,114°00'00"W,30°00'00"N,113°00'00"W,29°00'00"N,113°00'00"W,29°00'00"N,114°00'00"W,30,-114,30,-113,29,-113,29,-114,SRTM1N29W114V3,SRTM1N29W114V3
SRTM1N29W115V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,115°00'00"W,30°00'00"N,114°00'00"W,29°00'00"N,114°00'00"W,29°00'00"N,115°00'00"W,30,-115,30,-114,29,-114,29,-115,SRTM1N29W115V3,SRTM1N29W115V3
SRTM1N29W116V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.453563-05,30°00'00"N,116°00'00"W,30°00'00"N,115°00'00"W,29°00'00"N,115°00'00"W,29°00'00"N,116°00'00"W,30,-116,30,-115,29,-115,29,-116,SRTM1N29W116V3,SRTM1N29W116V3
SRTM1N29W119V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.673719-05,30°00'00"N,119°00'00"W,30°00'00"N,118°00'00"W,29°00'00"N,118°00'00"W,29°00'00"N,119°00'00"W,30,-119,30,-118,29,-118,29,-119,SRTM1N29W119V3,SRTM1N29W119V3
SRTM1N30E000V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.395319-05,31°00'00"N,0°00'00"E,31°00'00"N,1°00'00"E,30°00'00"N,1°00'00"E,30°00'00"N,0°00'00"E,31,0,31,1,30,1,30,0,SRTM1N30E000V3,SRTM1N30E000V3
SRTM1N30E001V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.395319-05,31°00'00"N,1°00'00"E,31°00'00"N,2°00'00"E,30°00'00"N,2°00'00"E,30°00'00"N,1°00'00"E,31,1,31,2,30,2,30,1,SRTM1N30E001V3,SRTM1N30E001V3
SRTM1N30E002V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,31°00'00"N,2°00'00"E,31°00'00"N,3°00'00"E,30°00'00"N,3°00'00"E,30°00'00"N,2°00'00"E,31,2,31,3,30,3,30,2,SRTM1N30E002V3,SRTM1N30E002V3
SRTM1N30E003V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,31°00'00"N,3°00'00"E,31°00'00"N,4°00'00"E,30°00'00"N,4°00'00"E,30°00'00"N,3°00'00"E,31,3,31,4,30,4,30,3,SRTM1N30E003V3,SRTM1N30E003V3
SRTM1N30E004V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.395319-05,31°00'00"N,4°00'00"E,31°00'00"N,5°00'00"E,30°00'00"N,5°00'00"E,30°00'00"N,4°00'00"E,31,4,31,5,30,5,30,4,SRTM1N30E004V3,SRTM1N30E004V3
SRTM1N30E005V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,31°00'00"N,5°00'00"E,31°00'00"N,6°00'00"E,30°00'00"N,6°00'00"E,30°00'00"N,5°00'00"E,31,5,31,6,30,6,30,5,SRTM1N30E005V3,SRTM1N30E005V3
SRTM1N30E006V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,31°00'00"N,6°00'00"E,31°00'00"N,7°00'00"E,30°00'00"N,7°00'00"E,30°00'00"N,6°00'00"E,31,6,31,7,30,7,30,6,SRTM1N30E006V3,SRTM1N30E006V3
SRTM1N30E007V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,7°00'00"E,31°00'00"N,8°00'00"E,30°00'00"N,8°00'00"E,30°00'00"N,7°00'00"E,31,7,31,8,30,8,30,7,SRTM1N30E007V3,SRTM1N30E007V3
SRTM1N30E008V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,8°00'00"E,31°00'00"N,9°00'00"E,30°00'00"N,9°00'00"E,30°00'00"N,8°00'00"E,31,8,31,9,30,9,30,8,SRTM1N30E008V3,SRTM1N30E008V3
SRTM1N30E009V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.395319-05,31°00'00"N,9°00'00"E,31°00'00"N,10°00'00"E,30°00'00"N,10°00'00"E,30°00'00"N,9°00'00"E,31,9,31,10,30,10,30,9,SRTM1N30E009V3,SRTM1N30E009V3
SRTM1N30E010V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,31°00'00"N,10°00'00"E,31°00'00"N,11°00'00"E,30°00'00"N,11°00'00"E,30°00'00"N,10°00'00"E,31,10,31,11,30,11,30,10,SRTM1N30E010V3,SRTM1N30E010V3
SRTM1N30E011V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 18:07:31.395319-05,31°00'00"N,11°00'00"E,31°00'00"N,12°00'00"E,30°00'00"N,12°00'00"E,30°00'00"N,11°00'00"E,31,11,31,12,30,12,30,11,SRTM1N30E011V3,SRTM1N30E011V3
SRTM1N30E012V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,12°00'00"E,31°00'00"N,13°00'00"E,30°00'00"N,13°00'00"E,30°00'00"N,12°00'00"E,31,12,31,13,30,13,30,12,SRTM1N30E012V3,SRTM1N30E012V3
SRTM1N30E013V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 22:24:55.640634-05,31°00'00"N,13°00'00"E,31°00'00"N,14°00'00"E,30°00'00"N,14°00'00"E,30°00'00"N,13°00'00"E,31,13,31,14,30,14,30,13,SRTM1N30E013V3,SRTM1N30E013V3
SRTM1N30E014V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,14°00'00"E,31°00'00"N,15°00'00"E,30°00'00"N,15°00'00"E,30°00'00"N,14°00'00"E,31,14,31,15,30,15,30,14,SRTM1N30E014V3,SRTM1N30E014V3
SRTM1N30E015V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,15°00'00"E,31°00'00"N,16°00'00"E,30°00'00"N,16°00'00"E,30°00'00"N,15°00'00"E,31,15,31,16,30,16,30,15,SRTM1N30E015V3,SRTM1N30E015V3
SRTM1N30E016V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,16°00'00"E,31°00'00"N,17°00'00"E,30°00'00"N,17°00'00"E,30°00'00"N,16°00'00"E,31,16,31,17,30,17,30,16,SRTM1N30E016V3,SRTM1N30E016V3
SRTM1N30E017V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,17°00'00"E,31°00'00"N,18°00'00"E,30°00'00"N,18°00'00"E,30°00'00"N,17°00'00"E,31,17,31,18,30,18,30,17,SRTM1N30E017V3,SRTM1N30E017V3
SRTM1N30E018V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,18°00'00"E,31°00'00"N,19°00'00"E,30°00'00"N,19°00'00"E,30°00'00"N,18°00'00"E,31,18,31,19,30,19,30,18,SRTM1N30E018V3,SRTM1N30E018V3
SRTM1N30E019V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,19°00'00"E,31°00'00"N,20°00'00"E,30°00'00"N,20°00'00"E,30°00'00"N,19°00'00"E,31,19,31,20,30,20,30,19,SRTM1N30E019V3,SRTM1N30E019V3
SRTM1N30E020V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,20°00'00"E,31°00'00"N,21°00'00"E,30°00'00"N,21°00'00"E,30°00'00"N,20°00'00"E,31,20,31,21,30,21,30,20,SRTM1N30E020V3,SRTM1N30E020V3
SRTM1N30E021V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,21°00'00"E,31°00'00"N,22°00'00"E,30°00'00"N,22°00'00"E,30°00'00"N,21°00'00"E,31,21,31,22,30,22,30,21,SRTM1N30E021V3,SRTM1N30E021V3
SRTM1N30E022V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,22°00'00"E,31°00'00"N,23°00'00"E,30°00'00"N,23°00'00"E,30°00'00"N,22°00'00"E,31,22,31,23,30,23,30,22,SRTM1N30E022V3,SRTM1N30E022V3
SRTM1N30E023V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 23:33:41.956433-05,31°00'00"N,23°00'00"E,31°00'00"N,24°00'00"E,30°00'00"N,24°00'00"E,30°00'00"N,23°00'00"E,31,23,31,24,30,24,30,23,SRTM1N30E023V3,SRTM1N30E023V3
SRTM1N30E024V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,24°00'00"E,31°00'00"N,25°00'00"E,30°00'00"N,25°00'00"E,30°00'00"N,24°00'00"E,31,24,31,25,30,25,30,24,SRTM1N30E024V3,SRTM1N30E024V3
SRTM1N30E025V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,25°00'00"E,31°00'00"N,26°00'00"E,30°00'00"N,26°00'00"E,30°00'00"N,25°00'00"E,31,25,31,26,30,26,30,25,SRTM1N30E025V3,SRTM1N30E025V3
SRTM1N30E026V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,26°00'00"E,31°00'00"N,27°00'00"E,30°00'00"N,27°00'00"E,30°00'00"N,26°00'00"E,31,26,31,27,30,27,30,26,SRTM1N30E026V3,SRTM1N30E026V3
SRTM1N30E027V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,27°00'00"E,31°00'00"N,28°00'00"E,30°00'00"N,28°00'00"E,30°00'00"N,27°00'00"E,31,27,31,28,30,28,30,27,SRTM1N30E027V3,SRTM1N30E027V3
SRTM1N30E028V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,28°00'00"E,31°00'00"N,29°00'00"E,30°00'00"N,29°00'00"E,30°00'00"N,28°00'00"E,31,28,31,29,30,29,30,28,SRTM1N30E028V3,SRTM1N30E028V3
SRTM1N30E029V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,29°00'00"E,31°00'00"N,30°00'00"E,30°00'00"N,30°00'00"E,30°00'00"N,29°00'00"E,31,29,31,30,30,30,30,29,SRTM1N30E029V3,SRTM1N30E029V3
SRTM1N30E030V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,30°00'00"E,31°00'00"N,31°00'00"E,30°00'00"N,31°00'00"E,30°00'00"N,30°00'00"E,31,30,31,31,30,31,30,30,SRTM1N30E030V3,SRTM1N30E030V3
SRTM1N30E031V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,31°00'00"E,31°00'00"N,32°00'00"E,30°00'00"N,32°00'00"E,30°00'00"N,31°00'00"E,31,31,31,32,30,32,30,31,SRTM1N30E031V3,SRTM1N30E031V3
SRTM1N30E032V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,32°00'00"E,31°00'00"N,33°00'00"E,30°00'00"N,33°00'00"E,30°00'00"N,32°00'00"E,31,32,31,33,30,33,30,32,SRTM1N30E032V3,SRTM1N30E032V3
SRTM1N30E033V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,33°00'00"E,31°00'00"N,34°00'00"E,30°00'00"N,34°00'00"E,30°00'00"N,33°00'00"E,31,33,31,34,30,34,30,33,SRTM1N30E033V3,SRTM1N30E033V3
SRTM1N30E034V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-11 00:16:07.157483-05,31°00'00"N,34°00'00"E,31°00'00"N,35°00'00"E,30°00'00"N,35°00'00"E,30°00'00"N,34°00'00"E,31,34,31,35,30,35,30,34,SRTM1N30E034V3,SRTM1N30E034V3
SRTM1N30E035V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,31°00'00"N,35°00'00"E,31°00'00"N,36°00'00"E,30°00'00"N,36°00'00"E,30°00'00"N,35°00'00"E,31,35,31,36,30,36,30,35,SRTM1N30E035V3,SRTM1N30E035V3
SRTM1N30E036V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,31°00'00"N,36°00'00"E,31°00'00"N,37°00'00"E,30°00'00"N,37°00'00"E,30°00'00"N,36°00'00"E,31,36,31,37,30,37,30,36,SRTM1N30E036V3,SRTM1N30E036V3
SRTM1N30E037V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,31°00'00"N,37°00'00"E,31°00'00"N,38°00'00"E,30°00'00"N,38°00'00"E,30°00'00"N,37°00'00"E,31,37,31,38,30,38,30,37,SRTM1N30E037V3,SRTM1N30E037V3
SRTM1N30E038V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,31°00'00"N,38°00'00"E,31°00'00"N,39°00'00"E,30°00'00"N,39°00'00"E,30°00'00"N,38°00'00"E,31,38,31,39,30,39,30,38,SRTM1N30E038V3,SRTM1N30E038V3
SRTM1N30E039V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,31°00'00"N,39°00'00"E,31°00'00"N,40°00'00"E,30°00'00"N,40°00'00"E,30°00'00"N,39°00'00"E,31,39,31,40,30,40,30,39,SRTM1N30E039V3,SRTM1N30E039V3
SRTM1N30E040V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,31°00'00"N,40°00'00"E,31°00'00"N,41°00'00"E,30°00'00"N,41°00'00"E,30°00'00"N,40°00'00"E,31,40,31,41,30,41,30,40,SRTM1N30E040V3,SRTM1N30E040V3
SRTM1N30E041V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 17:22:08.639466-05,31°00'00"N,41°00'00"E,31°00'00"N,42°00'00"E,30°00'00"N,42°00'00"E,30°00'00"N,41°00'00"E,31,41,31,42,30,42,30,41,SRTM1N30E041V3,SRTM1N30E041V3
SRTM1N30E042V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,31°00'00"N,42°00'00"E,31°00'00"N,43°00'00"E,30°00'00"N,43°00'00"E,30°00'00"N,42°00'00"E,31,42,31,43,30,43,30,42,SRTM1N30E042V3,SRTM1N30E042V3
SRTM1N30E043V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,31°00'00"N,43°00'00"E,31°00'00"N,44°00'00"E,30°00'00"N,44°00'00"E,30°00'00"N,43°00'00"E,31,43,31,44,30,44,30,43,SRTM1N30E043V3,SRTM1N30E043V3
SRTM1N30E044V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.283961-05,31°00'00"N,44°00'00"E,31°00'00"N,45°00'00"E,30°00'00"N,45°00'00"E,30°00'00"N,44°00'00"E,31,44,31,45,30,45,30,44,SRTM1N30E044V3,SRTM1N30E044V3
SRTM1N30E045V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.283961-05,31°00'00"N,45°00'00"E,31°00'00"N,46°00'00"E,30°00'00"N,46°00'00"E,30°00'00"N,45°00'00"E,31,45,31,46,30,46,30,45,SRTM1N30E045V3,SRTM1N30E045V3
SRTM1N30E046V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 15:57:21.980471-05,31°00'00"N,46°00'00"E,31°00'00"N,47°00'00"E,30°00'00"N,47°00'00"E,30°00'00"N,46°00'00"E,31,46,31,47,30,47,30,46,SRTM1N30E046V3,SRTM1N30E046V3
SRTM1N30E047V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.283961-05,31°00'00"N,47°00'00"E,31°00'00"N,48°00'00"E,30°00'00"N,48°00'00"E,30°00'00"N,47°00'00"E,31,47,31,48,30,48,30,47,SRTM1N30E047V3,SRTM1N30E047V3
SRTM1N30E048V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,48°00'00"E,31°00'00"N,49°00'00"E,30°00'00"N,49°00'00"E,30°00'00"N,48°00'00"E,31,48,31,49,30,49,30,48,SRTM1N30E048V3,SRTM1N30E048V3
SRTM1N30E049V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,49°00'00"E,31°00'00"N,50°00'00"E,30°00'00"N,50°00'00"E,30°00'00"N,49°00'00"E,31,49,31,50,30,50,30,49,SRTM1N30E049V3,SRTM1N30E049V3
SRTM1N30E050V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,50°00'00"E,31°00'00"N,51°00'00"E,30°00'00"N,51°00'00"E,30°00'00"N,50°00'00"E,31,50,31,51,30,51,30,50,SRTM1N30E050V3,SRTM1N30E050V3
SRTM1N30E051V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,51°00'00"E,31°00'00"N,52°00'00"E,30°00'00"N,52°00'00"E,30°00'00"N,51°00'00"E,31,51,31,52,30,52,30,51,SRTM1N30E051V3,SRTM1N30E051V3
SRTM1N30E052V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,52°00'00"E,31°00'00"N,53°00'00"E,30°00'00"N,53°00'00"E,30°00'00"N,52°00'00"E,31,52,31,53,30,53,30,52,SRTM1N30E052V3,SRTM1N30E052V3
SRTM1N30E053V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,53°00'00"E,31°00'00"N,54°00'00"E,30°00'00"N,54°00'00"E,30°00'00"N,53°00'00"E,31,53,31,54,30,54,30,53,SRTM1N30E053V3,SRTM1N30E053V3
SRTM1N30E054V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,54°00'00"E,31°00'00"N,55°00'00"E,30°00'00"N,55°00'00"E,30°00'00"N,54°00'00"E,31,54,31,55,30,55,30,54,SRTM1N30E054V3,SRTM1N30E054V3
SRTM1N30E055V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,55°00'00"E,31°00'00"N,56°00'00"E,30°00'00"N,56°00'00"E,30°00'00"N,55°00'00"E,31,55,31,56,30,56,30,55,SRTM1N30E055V3,SRTM1N30E055V3
SRTM1N30E056V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,56°00'00"E,31°00'00"N,57°00'00"E,30°00'00"N,57°00'00"E,30°00'00"N,56°00'00"E,31,56,31,57,30,57,30,56,SRTM1N30E056V3,SRTM1N30E056V3
SRTM1N30E057V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,57°00'00"E,31°00'00"N,58°00'00"E,30°00'00"N,58°00'00"E,30°00'00"N,57°00'00"E,31,57,31,58,30,58,30,57,SRTM1N30E057V3,SRTM1N30E057V3
SRTM1N30E058V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.283961-05,31°00'00"N,58°00'00"E,31°00'00"N,59°00'00"E,30°00'00"N,59°00'00"E,30°00'00"N,58°00'00"E,31,58,31,59,30,59,30,58,SRTM1N30E058V3,SRTM1N30E058V3
SRTM1N30E059V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,59°00'00"E,31°00'00"N,60°00'00"E,30°00'00"N,60°00'00"E,30°00'00"N,59°00'00"E,31,59,31,60,30,60,30,59,SRTM1N30E059V3,SRTM1N30E059V3
SRTM1N30E060V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 20:02:11.283961-05,31°00'00"N,60°00'00"E,31°00'00"N,61°00'00"E,30°00'00"N,61°00'00"E,30°00'00"N,60°00'00"E,31,60,31,61,30,61,30,60,SRTM1N30E060V3,SRTM1N30E060V3
SRTM1N30E061V3,2000-02-11 00:00:00-06,2014-09-23 00:00:00-05,1-ARC,2025-03-10 21:09:49.103708-05,31°00'00"N,61°00'00"E,31°00'00"N,62°00'00"E,30°00'00"N,62°00'00"E,30°00'00"N,61°00'00"E,31,61,31,62,30,62,30,61,SRTM1N30E061V3,SRTM1N30E061V3
